r_ijk_x   r_ijk_y   r_ijk_z
1.9873e+06 200366 6.04161e+06
2.28372e+06 891465 5.87512e+06
1.80348e+06 886381 6.04161e+06
2.04696e+06 930041 5.95339e+06
1.8722e+06 522587 6.05156e+06
2.15534e+06 525584 5.95339e+06
1.66794e+06 328485 6.12343e+06
1.87885e+06 99813.3 6.08334e+06
1.69503e+06 785829 6.08334e+06
1.42995e+06 99813.3 6.20362e+06
1.5436e+06 463304 6.14707e+06
1.65197e+06 58847.3 6.14707e+06
1.80826e+06 463304 6.07616e+06
1.6681e+06 -328578 6.12401e+06
1.8789e+06 -99841.7 6.08351e+06
1.42999e+06 -99841.7 6.2038e+06
1.69542e+06 -786052 6.08471e+06
1.54383e+06 -463436 6.14788e+06
1.80849e+06 -463436 6.07697e+06
1.652e+06 -58864 6.14718e+06
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
2.02483e+06 659404 5.98611e+06
1.80348e+06 886381 6.04161e+06
1.9873e+06 200366 6.04161e+06
2.28372e+06 891465 5.87512e+06
2.15534e+06 525584 5.95339e+06
2.04696e+06 930041 5.95339e+06
1.8722e+06 522587 6.05156e+06
1.97932e+06 1.27086e+06 5.90638e+06
1.78965e+06 1.07218e+06 6.01739e+06
2.26989e+06 1.07726e+06 5.85089e+06
1.87841e+06 1.66314e+06 5.85087e+06
